,Model
894,"Sagrada Familia, Gaudi's most famous work, was not completed until 2026."
1329,"Brazil, Chile"
1235,"Paraguay, Bolivia, Uruguay, Chile, and Brazil (in order of shared border length with Argentina) all have populations less than Argentina's."
1778,"Mali, Guinea, Nigeria"
1471,Radcliffe College (1879) and Yale University (1701)
2151,"""The Last Song (2010), LOL (2012), So Undercover (2012), and Happy Endings (2014)"""
1538,"Georgia Tech, Duke University"
3406,"""Hunger Games: Catching Fire, Independence Day: Resurgence, Isn't It Romantic, Killerman"""
3332,"Finland, Estonia, Latvia, Lithuania, Belarus, Poland, Ukraine, Kazakhstan, Mongolia"
656,California
1141,"University of Giessen, Leipzig University, University of Würzburg"
2745,"""Pretty Little Liars (TV series), Secret Life of the American Teenager"""
1349,"Austria, Switzerland"
2352,"Allianz Stadium, Qudos Bank Arena, ANZ Stadium"
902,"Nigeria (206), Mali (223), Guinea (224), Cote d'Ivoire (384)"
1779,"Corinth, Mississippi"
791,"Estonia, Finland, Latvia, Lithuania, Norway, Poland, Ukraine"
2679,Los Angeles (84006)
796,Miami Hurricanes
3234,"Austria, Liechtenstein, Switzerland"
1382,"Brazil, Peru, Chile, Argentina"
1812,"Chile (15), Bolivia (591), Paraguay (595)"
175,"Abraham Lincoln, President of the United States"
1084,Edmonton Eskimos (CFL)
1191,"Iowa State University, Simpson College, Minot State University"
1695,Missouri
839,"Harry Potter and the Deathly Hallows: Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"Hannah Montana: The Movie, The Last Song, LOL (Laugh Out Loud)"
1359,"Walt Whitman, Henry David Thoreau, and Edgar Allan Poe (all died after October 7, 1849) influenced Whitman's poetry."
2990,"Estonia, Latvia, Lithuania, Finland, Norway, Poland, Belarus, Ukraine, Kazakhstan, Mongolia, China, Azerbaijan, Georgia, Turkey, and Japan."
