index,Model
894,J.R.R. Tolkien
1329,Brazil
1235,Bolivia
1778,"Benin, Mali, Guinea, Senegal, Niger, Burkina Faso, Cote d'Ivoire, Chad, Gambia, Mauritania, Cameroon, Togo, Congo, Central African Republic, Ghana, Guinea-Bissau, Sierra Leone, Liberia, Nigeria."
1471,Harvard University
2151,The Last Song
1538,University of Arkansas
3406,"The Hunger Games, The Expendables 2, The Last Song"
3332,Azerbaijan
656,South Carolina
1141,Humboldt University of Berlin
2745,Scream 4
1349,Germany
2352,"No attraction in Sydney, Australia has a venue capacity greater than 5738."
902,"Mali, Guinea"
1779,"Tennessee (not a location of the Battle of Shiloh, but a larger population)"
791,Azerbaijan
2679,Not provided in the context.
796,USC Trojans football
3234,"Liechtenstein, Austria, Czech Republic"
1382,Brazil
1812,"Bolivia, Uruguay"
175,Abraham Lincoln
1084,Houston Oilers
1191,Iowa State University (not mentioned in the context) did not have George Washington Carver as an attendee. He attended Simpson College and Tuskegee University. Neither of these universities have postgraduate numbers greater than 5544.
1695,Kansas
839,"Harry Potter and the Prisoner of Azkaban, Harry Potter and the Order of the Phoenix, Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Goblet of Fire, Harry Potter and the Half-Blood Prince"
982,"Hannah Montana: The Movie, Big Fish, The Last Song"
1359,Henry David Thoreau
2990,"Mongolia, Azerbaijan"
2113,Museo Nacional del Prado
1754,Not provided in the context.
1668,Egypt
856,Johnny Cash
3152,"Downey, California"
961,Minneapolis
1291,Benin
1856,No Arabic speaking countries have a calling code above 973. (Qatar's calling code is 973)
1949,Abraham Lincoln
1166,Louisiana State University
2311,Gettysburg_College
1535,Tajikistan
726,"Paraguay, United States"
1219,"Frank Sinatra (nationality is United States of America) did not influence Whitman's poetry. Abraham Lincoln (government position held after March 7, 1861) was the President of the United States, not a poet."
1625,"Mongolia, Azerbaijan"
1064,"Austria, Switzerland"
3324,Iowa State University (not mentioned in the context)
1150,Yale University
1684,Kansas (before 1986)
2153,South Carolina
664,"Qatar, Bahrain, Oman, United Arab Emirates"
1680,Canada's men's national soccer team
1736,Abraham Lincoln
1286,Abraham Lincoln
1429,The Hunger Games
1231,"The Hunger Games, The Expendables 2, The Last Song"
873,"Latvia, Lithuania, Slovenia, Croatia, Slovakia, Czech Republic"
1700,Iowa State University
1228,"Bolivia, Paraguay, Uruguay, Chile"
3284,"Florida, Utah"
680,Chelsea F.C.
3307,Brazil
1348,Malibu (655030)
2321,Mali
1720,Abraham Lincoln
3014,New England Patriots
2960,Egypt
697,University of Arkansas
842,Georg Wilhelm Friedrich Hegel
3294,Guam
655,Not provided in the context.
878,Chivas USA (not found in the context)
1261,Czech Republic
1747,Abraham Lincoln
2377,Olympique de Marseille
669,South Dakota
1855,"Czech Republic, Austria"
3325,The Hunger Games
2568,Battleship
1521,"Czech Republic, Hungary, Austria"
1443,Colorado (biblioness location)
1918,The Last Song
1380,"Sudan, Syria, United Arab Emirates"
1926,Marcel Duchamp
1624,None (as Miley Cyrus was not involved in any movies released prior to 26 March 2004)
3326,Colorado (before 1899)
1840,Not provided in the context.
2561,Church of Ireland
1328,"Qatar (not explicitly mentioned as Arabic speaking in the context, but it is the only country associated with the English language that is also spoken in Qatar and has a calling code greater than 973)"
1604,None (Jerry Spinelli is not mentioned in the context)
1413,Brazil national football team (not Chivas USA)
2106,Not provided in the context.
2969,"Djibouti, Qatar"
1587,Humboldt University of Berlin
1767,No Tibetan speaking countries have a population of less than 993885000.
1211,"Tinker Bell: Secret of the Wings, Scream 4"
3304,"Mali, Guinea"
1609,"Guam, Downey"
1664,"Duluth (not mentioned in the context, but Frank Sinatra did not live there)"
2995,Austria
1279,Central Time Zone
1484,"California (No actor or film ""Recognition of the Japanese Zero Fighter"" is provided in the context)"
2108,The context does not provide information about a political appointer who had the title of Commander in Chief of Home Forces.
1188,"Queen, Joe Jonas"
2084,United States of America is not known for having Picea Sitchensis as an official symbol.
303,Unitary state
1974,Emilie de Ravin is not associated with a television show with the theme song 'Lonely Girl' in the provided context.
2624,No relevant information provided about currency having an official Ceiba pentandra symbol.
3133,Alex Borstein
107,"Scottish Gaelic, not provided in context."
803,"The context provided does not mention any actor or movie named ""Arwin!"". Therefore, no answer can be given based on the provided context."
3353,Scream 4
2300,Judy Garland
2379,Librarian (David Hume)
3112,Lung cancer
363,Not provided in the context.
1283,North America-US
1417,Atlanta
172,New York
2857,The context does not provide information about the Rainbow Bridge National Monument's place of worship and the language spoken there.
1267,Pashto language
1168,North America
949,Cheaper by the Dozen
400,"Sudan does not export the national anthem Bilady, Bilady, Bilady. National anthems are not physical goods that can be exported."
2782,"Kansas (not specified if the author is Laura Ingalls Wilder, who actually lived in De Smet, South Dakota during the events of ""The Long Winter"")"
2780,Real Madrid C.F.
2357,Christopher Lee
1394,Central Time Zone
3319,Ryan Reynolds
1775,Piano
1034,"Johnny_Cash, Frank_Sinatra make their home in United_States_of_America"
437,"Russia, Latvia, Azerbaijan, Mongolia, Kazakhstan"
267,Recreativo de Huelva
493,Not provided in the context.
1792,"Chile, Bolivia, Paraguay, Argentina"
2920,"Johnny_Cash, Frank_Sinatra live in United_States_of_America"
282,"Portuguese_Language, English_Language"
2076,Spanish Language
575,Standard Mandarin
2150,Wil Wheaton
2763,"Rabat is not a currency, it's a city in Morocco. The currency used in Morocco is the Moroccan Dirham."
1326,"The context does not provide information about the father of Elizabeth or Essex in the movie, The Private Lives of Elizabeth and Essex."
2580,Lung cancer (if the author is any of the given individuals)
976,Denmark (not provided in context)
693,Central Time Zone
2927,Rabat
2492,United States of America
90,Central Time Zone
446,Unitary state
1717,Not provided in the context.
2909,Delaware is not mentioned as the state a senator is from in the given context.
1697,Georg Wilhelm Friedrich Hegel
1014,"John Cage, Michael Kamen"
2071,Doric Greek does not have a specific government associated with it. It is an ancient Greek dialect.
1616,"Mexico, United States of America, Guatemala"
2935,Unitary state
2683,"Not provided in the context. The context only mentions educational institutions and their colors, not sports teams in Arizona."
853,"Dance-pop, Contemporary_R&B, Pop_music, Dance_music"
305,Pittsburgh is not associated with a specific sports team's home state based on the given context. The context only mentions Pittsburgh as the location of a library.
2110,Marcel Duchamp
1249,Not provided in the context.
1433,Los Angeles Clippers
2659,New York Yankees
2753,"Not provided in the context. The context only mentions the United States of America and its form of government, but it does not mention the Cordoba Fighting Dog or its location."
2182,Not provided in the context.
3366,There is no information about a political appointer who was the Reich Governor in the provided context.
1873,The context does not provide information about the Hertha Pointer breed.
3301,"Mexico, United States, Guatemala"
1780,"Rock_music, Painting, Drawing, Sculpture"
3188,Asia
3128,"Dutch Language, German Language"
210,Marcel Duchamp
2832,Presidential system
1254,"Jonathan Swift, the Priest-GB, was famous for being the author of ""Gulliver's Travels"" and ""A Modest Proposal""."
857,Lung cancer (Syd Barrett)
1407,The given context does not provide information about an actor that played the character Soldier in Paddington Cafe.
591,Drowning
3247,Colombia
