,Model
894,"Park Guell, Sagrada Familia, none of the given entities provide information about the death date of Gaudi's inspiration."
1329,Brazil
1235,"Paraguay, Bolivia, Uruguay, Chile, Peru, Brazil, Suriname, Guyana, Honduras, El Salvador, Paraguay (repeated due to error in context)"
1778,"Burkina Faso, Niger, Nigeria, Benin, Chad, Mali, Guinea-Bissau, and Congo"
1471,Radcliffe College (1879) and Yale University (1956)
2151,"The Last Song, Bolt, Big Fish, Sex and the City 2, Hannah Montana: The Movie"
1538,"Harvard_University, Stanford_University, Yale_University, University_of_Cambridge, University_of_Oxford, Northwestern_University, University_of_Southern_California, Princeton_University, University_at_Albany,_The_State_University_of_New_York, University_of_Toronto, Boston_University, University_of_Southern_Mississippi, Denison_University, University_of_Colorado_Boulder, University_of_Kent, University_of_Rochester, University_of_Sussex, University_of_California,_Berkeley, University_of_California,_Irvine, University_of_Westminster, Brandeis_University, University_of_Miami, California_State_University,_Long_Beach, California_State_Polytechnic_University,_Pomona, University_of_Nevada,_Las_Vegas, University_of_Washington, Eastern_Illinois_University, University_of_Sheffield, College_of_William_and_Mary, University_of_Minnesota, Lincoln_College,_Oxford, Tufts_University, University_of_St_Andrews, Durham_University, University_of_Rutgers, Rutgers_University, University_of_Oxford, University_of_Sydney, University_of_California,_Los_Angeles, University_of_Kentucky, University_of_Pennsylvania, University_of_Illinois_at_Urbana-Champaign, University_of_Michigan, University_of_Texas_at_Austin, University_of_Wisconsin-Madison, University_of_Virginia, University_of_Maryland, Columbia_University, Brown_University, Duke_University, Cornell_University, University_of_Chicago, University_of_Pittsburgh, University_of_Georgia, University_of_Florida, University_of_North_Carolina_at_Chapel_Hill, University_of_Miami_Ohio, University_of_Iowa, University_of_Indiana, University_of_Minnesota_Twin_Cities, University_of_Washington_Seattle, University_of_California,_San_Diego, University_of_Arizona, University_of_Nebraska-Lincoln, University_of_Kansas, University_of_Missouri, University_of_Kansas_Lawrence, University_of_Oklahoma, University_of_Arkansas, University_of_Louisville, University_of_Mississippi, University_of_Alabama, University_of_Tennessee, University_of_South_Carolina, University_of_Florida_Gainesville, University_of_North_Carolina_at_Charlotte, University_of_North_Carolina_Wilmington, University_of_South_Florida, University_of_Central_Florida, University_of_Florida_Jacksonville, University_of_Miami_Florida, University_of_Louisiana_at_Lafayette, University_of_Louisiana_at_Monroe, University_of_Louisiana_New_Orleans, University_of_Texas_San_Antonio, University_of_Texas_El_Paso, University_of_Texas_Arlington, University_of_Texas_Dallas, University_of_Houston, University_of_Houston_Clear_Lake, University_of_Houston_Victoria, University_of_Texas_Tyler, University_of_Texas_Rio_Grande_Valley, University_of_Texas_Permian_Basin, University_of_Texas_San_Marcos, University_of_Texas_Health_Science_Center_at_San_Antonio, University_of_Texas_Health_Science_Center_at_Houston, University_of_Texas_Health_Science_Center_at_Dallas, University_of_Texas_MD_Anderson_Cancer_Center, University_of_Texas_Southwestern_Medical_Center, University_of_Texas_Health_Science_Center"
3406,"""Exodus: Gods and Kings, Independence Day: Resurgence"""
3332,"Belarus, Kazakhstan, Ukraine, Norway, Georgia, Azerbaijan, China, Mongolia, North Korea"
656,California
1141,"University_of_Leipzig, Technical_University_of_Munich"
2745,"A Cameo_appearance, Tron:_Legacy"
1349,"Liechtenstein, Switzerland, Belgium, Luxembourg"
2352,The Sydney Opera House has a venue capacity greater than 5738.
902,"Chad, Nigeria, Benin, Niger, Mali, Guinea-Bissau, Cameroon, Congo, Equatorial Guinea, Gabon, Côte d'Ivoire, Togo, Senegal, Burkina Faso, and Central African Republic."
1779,"Battle_Creek, Michigan"
791,"Belarus, Kazakhstan, Ukraine, Norway, Mongolia, China"
2679,Los Angeles (84006)
796,Miami Hurricanes
3234,"Liechtenstein, Luxembourg, Switzerland"
1382,"Argentina, Brazil"
1812,"Brazil, Chile, Uruguay"
175,"Abraham_Lincoln, Ulysses_S._Grant, James_Madison, James_Monroe, William_Henry_Harrison, John_Quincy_Adams, James_K._Polk, Theodore_Roosevelt, George_Washington"
1084,Edmonton Eskimos
1191,Harvard_University
1695,Missouri
839,"Harry Potter and the Deathly Hallows - Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"The Last Song, Hannah Montana: The Movie, Bolt"
1359,"Herman Melville, Edgar Allan Poe, Ralph Waldo Emerson, Nathaniel Hawthorne, Henry David Thoreau, Charles Dickens, George Gordon Byron, John Keats, William Butler Yeats, Oscar Wilde, Fyodor Dostoyevsky, Anton Chekhov, Robert Louis Stevenson, Gustave Flaubert, Mark Twain, Gérard de Nerval, Alphonse de Lamartine, Victor Hugo, John Milton, John Donne, John Dryden, Alexander Pope, Jonathan Swift, William Shakespeare, John Locke, Isaac Newton, Galileo Galilei, Nicolaus Copernicus, Archimedes, Euclid, Pythagoras, Socrates, Plato, Aristotle, Homer, Hesiod, Virgil, Ovid, Horace, Lucretius, Catullus, Seneca, Cicero, Plutarch, Herodotus, Thucydides, Aristophanes, Euripides, Sophocles, Aeschylus, Pindar, Sappho, Anacreon, Simonides, Bacchylides, Alcaeus, Archilochus, Stesichorus, Ibycus, Parmenides, Empedocles, Xenophanes, Heraclitus, Parmenides, Zeno, Democritus, Protagoras, Gorgias, Prodicus, Hippias, Antiphon, Socrates, Plato, Aristotle, Theophrastus, Epicurus, Metrodorus, Demetrius, Strato, Posidonius, Seneca, Lucretius, Virgil, Ovid, Horace, Martial, Catullus, Persius, Juvenal, Lucan, Statius, Quintilian, Tacitus, Suetonius, Pliny the Elder, Plutarch, Seneca, Petronius, Lucian, Dio Chrysostom, Aelius Aristides, Apollonius of Tyana, Epictetus, Marcus Aurelius, Seneca, Lucretius, Virgil, Ovid, Horace, Martial, Catullus, Persius, Juvenal, Lucan, Statius, Quintilian, Tacitus, Suetonius, Pliny the Elder, Plutarch, Seneca, Petronius, Lucian, Dio Chrysostom, Aelius Aristides, Apollonius of Tyana, Epictetus, Marcus Aurelius, Seneca, Lucretius, Virgil, Ovid, Horace, Martial, Catullus, Persius, Juvenal, Lucan, Statius, Quintilian, Tacitus, Suetonius, Pliny the Elder, Plutarch, Seneca, Petronius, Lucian, Dio Chrysostom, Aelius Aristides, Apollonius of Tyana, Epictetus, Marcus Aurelius, Seneca, Lucretius, Virgil, Ovid, Horace, Martial, Catullus, Persius, Juvenal, Lucan, Statius, Quintilian, Tacitus, Suetonius, Pliny the Elder, Plutarch, Seneca, Petronius, Lucian, Dio Chrysostom, Aelius Aristides, Apollonius of Tyana, Epictetus, Marcus Aurelius, Seneca, Lucretius, Virgil, Ovid, Horace, Martial, Catullus, Persius, Juvenal, Lucan, Statius, Quintilian, Tacitus, Suetonius, Pliny the Elder, Plutarch, Seneca, Petronius, Lucian, Dio Chrysostom, Aelius Aristides, Apollonius of Tyana, Epictetus, Marcus Aurelius, Seneca, Lucretius, Virgil, Ovid, Horace, Martial, Catullus, Persius, Juvenal, Lucan, Statius, Quintilian, Tacitus, Suetonius, Pliny the Elder, Plutarch, Seneca, Petronius, Lucian, Dio Chrysostom, Aelius Aristides, Apollonius of Tyana, Epictetus, Marcus Aurelius, Seneca, Lucretius, Virgil, Ovid, Horace, Martial, Catullus, Persius, Juvenal, Lucan, Statius, Qu"
2990,"Estonia, Latvia, Lithuania, Finland, Norway, Poland, Belarus, Ukraine, Kazakhstan, Azerbaijan, Mongolia, China, North Korea, and Georgia."
2113,"Museo_Nacional_Del_Prado, Official_Website"
1754,"Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire"
1668,"Egypt, Giza"
