,Model,Actual,Correct
0,anita rani,sandi toksvig,False
1,mervyn leroy produced the film 12 angry men.,henry fonda,False
11,foinavon won the 1968 grand national.,red alligator,False
14,mexico (men's football),poland,False
15,leeds united,leeds united f.c.,False
16,bobby moore and alan devonshire,alan taylor,False
17,west germany (germany),holland,False
18,seb coe,sebastian coe,False
23,"polo was part of the olympic games programme between 1900 and 1924, and returned as a full medal sport at the 1988 olympics.",tennis,False
27,australia has won the most medals in the men's event in the first 3 olympiads to 2008.,new zealand,False
28,bradley wiggins,nicole cooke,False
30,philippa roles,phillips idowu,False
33,workforce (trained in ireland),pour moi,False
34,jade jones won britain's first taekwondo olympic medal.,sarah stevenson,False
35,sweden,canada,False
41,sting released the 2011 album 50 words for snow.,kate bush,False
42,sam zimbalist,samuel bronston,False
49,juno temple played bubbles.,jane horrocks,False
71,charles laughton,kenneth more,False
75,blackbeard's ship,william kidd,False
83,egypt (ras muhammad),tunisia,False
85,the largest landlocked country in africa is sudan.,chad,False
87,orange river,niger,False
91,teenage fanclub,nelson,False
93,"""the hollow"" is the agatha christie book where poirot does not die.",curtain,False
94,"""murder, she said"" is based on agatha christie's ""the mousetrap.""",4.50 from paddington,False
106,federal reserve,federal reserve system,False
107,manhattan transfer,the manhattan transfer,False
127,"emirates aircraft

(this horse was not named after the airline, but the horse's owner, sheikh ahmed bin saeed al maktoum, is also the chairman and ceo of emirates airline and group.)",rock of gibraltar,False
133,"""the 39 steps"" is the film.",the thirty-nine steps,False
135,pickwick papers,the pickwick papers,False
136,bruce wayne,batman,False
145,the white rabbit gives this advice to alice.,king of hearts,False
152,"pink

in case you'd like more context, pink is an american singer-songwriter who released the album ""all i ever wanted"" in 2009. the album was her fifth studio album and included popular singles like ""so what"" and ""glitter in the air.""",kelly clarkson,False
155,"dreamliner d7-ana

(this refers to the specific boeing 787 aircraft, with the registration number d7-ana, delivered to all nippon airways.)",boeing 787 dreamliner,False
158,"calista flockhart is the american actress known for ally mcbeal, appearing in charlie's angels, kill bill, and kung fu panda.",lucy liu,False
165,"""edward elgar's pomp and circumstance march no. 1 (land of hope and glory)"" was alvin stardust's follow-up, his only number 1.",jealous mind,False
168,andy fairweather-low,andy fairweather low,False
170,ulysses s. grant,william tecumseh sherman,False
176,"navajo nation has over 300,000 members.",cherokee,False
177,"don mclean (re-recorded)

(note: don mclean originally released american pie in 1971, but a re-recorded version became a hit in 2000.)",madonna,False
182,new zealand,switzerland,False
183,america (1851),united states,False
193,the best place to see the andean condor in its native environment is the andes mountains in south america.,peru,False
197,major-general gordon in various film adaptations,dr. watson,False
200,peter,saint peter,False
202,"""the phantom of the opera"" is the stage musical, launched in 2004, based on wilkie collins' 1860 novel, featuring songs like ""you see i am no ghost"" and ""the holly and the ivy.""",the woman in white,False
205,"""the first musical by andrew lloyd webber and tim rice was 'joseph and the amazing technicolor dreamcoat'.""",the likes of us,False
214,new zealand,australia,False
215,jennifer love hewitt,jennifer lopez,False
217,marcheline bertrand (mother),jon voight,False
222,harold ii was the last anglo-saxon king of england.,harold godwinson,False
226,the band is ac/dc.,ac dc,False
228,snowball,moses,False
229,snowball,boxer,False
230,"""up"" (dreamworks animation)",monsters vs. aliens,False
233,heart failure,pleurisy,False
235,henry viii,henry viii of england,False
237,margaret thatcher,nancy reagan,False
238,"richard ii had two wives, anne of bohemia and isabella of valois.",richard ii of england,False
239,james i,james vi and i,False
240,sense of smell,olfaction,False
243,the european union does not have a single official anthem.,ode to joy,False
246,marquess of brockenhurst,palliser novels,False
248,"judith chalmers (originally associated with bbc's 'holiday', not 'crimewatch' or 'antiques roadshow')",fiona bruce,False
252,"""annie"" is the musical from which both songs originate.",annie get your gun,False
257,onerepublic (feat. timbaland),one republic,False
259,benny goodman's band,count basie,False
260,baku (azerbaijan),tbilisi,False
267,"juan perón

explanation:
juan domingo perón served as the president of argentina from october 12, 1973, until his death on july 1, 1974. he was the country's third elected president, serving two terms from 1946 to 1955 before being overthrown in a military coup. he returned to power in 1973 after winning the elections in exile.",juan peron,False
280,"rene artois

(arthur bostrom played the character rene artois in the tv sitcom 'allo 'allo!)",officer crabtree,False
288,steve martin,bob hoskins,False
289,"""minder"" was the tv series featuring bob hoskins as arthur parker, a sheet music salesman.",pennies from heaven,False
299,t.s. eliot wrote 'ash wednesday'.,t. s. eliot,False
300,there is no christian-majority country in asia.,the philippines,False
309,memphis,"memphis, tennessee",False
318,"ray charles was the first white music star to record on atlantic, through its sister label atco.",bobby darin,False
320,"egypt, united kingdom, germany, greece",united states,False
325,"""my fair lady""",roman holiday,False
337,south australia is australia's smallest mainland state.,victoria,False
338,don bradman,ricky ponting,False
348,monaco,paris,False
363,ben affleck,jennifer lopez,False
366,bagheera was a panther.,black panther,False
368,"gary moore, the scottish guitarist and singer-songwriter, passed away in 2011 at the age of 63.",gerry rafferty,False
377,jules massenet composed la peri (in ballet).,paul dukas,False
379,three-ball pool is the game.,cue sports,False
387,william paterson,john houblon,False
393,boney m with 'barbados',typically tropical,False
396,"plectranthus barbatus

in case you want a bit more context, plectranthus barbatus is a plant native to south africa, known for its sharp-edged leaves that resemble barbed wire. it is commonly used as a herb and goes by several names, including barbed-wire grass, bead plant, and spurred nettlebush.",lemongrass,False
411,robert the bruce,edward ii of england,False
419,"caratacus, a british chieftain, led the forces defeated.",boudica,False
422,tim davie is the director general of the bbc.,george entwistle,False
423,"""only fools and horses"" became bbc 2's longest running sitcom in 1998.",red dwarf,False
426,greg james is the regular presenter on bbc radio one on monday to friday from 10.00am to 12.45pm.,fearne cotton,False
427,brian wilson (before he focused more on producing),glen campbell,False
430,"""all my loving"" by the beatles was taken to number one by the overlanders.",michelle,False
431,"""doctor robert""",eleanor rigby,False
432,"""michelle"" appears on the beatles' album ""the beatles (also known as the white album)"".",rubber soul,False
433,"""sgt. pepper's lonely hearts club band"" album cover features 5 beatles.",abbey road,False
434,paul mccartney is wearing a white suit.,john lennon,False
438,ringo starr,john lennon,False
441,bedloes island in the usa is used as a wildlife sanctuary.,statue of liberty,False
447,macheath (mac the knife),captain macheath,False
448,"the second place in the eurovision song contest for britain in 1972 was taken by the group ""brotherhood of man"" with the song ""beg, steal or borrow.""",the new seekers,False
449,david suchet,james bolam,False
456,lagan river,river lagan,False
457,"in 2010, the mp for belfast west was mark durkan.",gerry adams,False
461,"""the brockman children are from 'the inbetweeners' uk series.""",outnumbered,False
468,alaska,united states,False
470,berlin cathedral (berliner dom) was constructed.,brandenburg gate,False
472,"""bermuda, yamalinkum"" is the national anthem of bermuda.",god save the queen,False
478,"tom hanks, in 1995 and 1999.",kevin spacey,False
480,"""the office"" won the title of best british sitcom in the 2004 poll run by the bbc.",only fools and horses,False
481,steven spielberg won the best director oscar in 2013.,ang lee,False
487,"""the hurt locker"" won the oscar for best picture in 2009.",slumdog millionaire,False
492,"""the empire strikes back"" won the best sound effects oscar in 1987.",robocop,False
496,alfred lord tennyson,"alfred, lord tennyson",False
497,dr pepper,pepsi-cola,False
500,"""cole porter's 'kiss me, kate'""",pal joey,False
509,1 kings (or 1 kings 10),books of kings,False
511,dennis taylor,john virgo,False
512,mark williams,peter kay,False
531,"billy butlin is buried in kensal green cemetery, london.",jersey,False
532,the stealers wheel was formed by billy connolly and gerry rafferty.,the humblebums,False
536,"""scenes from an italian restaurant""",piano man,False
537,"""the stranger"" by billy joel, specifically the song ""scenes from an italian restaurant,"" references the struggles of long island fishermen.",the downeaster alexa,False
538,samuel barber,aaron copland,False
540,the dutch parliament has met at the binnenhof since 1446.,netherlands,False
