,Model
2,nan
5,nan
6,nan
9,nan
12,Dick Fosbury
13,nan
17,nan
18,Seb Coe
19,nan
20,nan
23,nan
27,nan
34,Sarah Stevenson
35,nan
36,nan
40,nan
53,nan
60,nan
61,nan
62,nan
63,nan
64,U2
65,nan
71,nan
83,nan
84,nan
87,nan
88,nan
89,nan
95,nan
98,nan
100,nan
102,Cyprus
103,nan
109,nan
111,nan
120,nan
121,nan
127,nan
133,nan
134,nan
137,nan
139,nan
146,Clueless
147,nan
158,nan
159,nan
160,nan
161,nan
166,nan
167,Andrew Garfield
170,nan
173,nan
174,nan
175,nan
176,nan
178,nan
179,nan
180,nan
181,nan
189,Scissor Sisters
190,The Sex Pistols
191,Spain
192,Granada
193,nan
194,nan
196,Las Vegas
201,Gianni Versace
206,nan
208,nan
210,nan
212,nan
217,nan
224,nan
225,nan
227,AC/DC
230,"""Up, released by DreamWorks Animation, is the highest-grossing film worldwide of 2009 (May 2009)."""
234,nan
244,Brideshead Revisited
259,nan
262,nan
266,nan
267,Juan Peron
269,nan
270,nan
271,nan
275,nan
281,nan
283,nan
290,nan
296,Michel Hazanavicius
300,nan
306,nan
307,nan
309,nan
318,nan
321,Madeira
325,nan
327,nan
331,nan
334,nan
335,nan
336,nan
337,nan
338,Don Bradman
340,nan
342,nan
344,nan
349,nan
354,Portugal
356,New York Yankees
359,Iraq
369,nan
376,Maurice Ravel
377,nan
386,nan
392,nan
402,Blackpool FC
403,nan
405,nan
406,nan
409,nan
419,nan
420,nan
423,"""Only Fools and Horses"""
426,nan
427,nan
434,nan
438,nan
439,nan
452,nan
453,nan
458,nan
459,nan
462,nan
464,nan
466,nan
467,nan
473,nan
478,nan
482,nan
484,nan
485,nan
486,nan
487,nan
488,nan
490,nan
491,nan
505,nan
513,nan
520,nan
522,nan
523,nan
524,nan
527,nan
530,nan
533,nan
539,nan
548,nan
550,Jelly Roll Morton
562,nan
575,Jake Blues
580,nan
581,nan
585,nan
588,University of Oxford
589,nan
592,nan
599,nan
602,AC/DC
604,Oscar and Lucinda
605,"Julian Barnes, J.M. Coetzee"
606,"The Booker Prize of 1978 was won by ""The Sea, The Sea"" by Iris Murdoch."
607,A. A. S. Byatt
608,"Declan Hughes, not correct.

Richard Ford, not correct.

Paul Durcan, not correct.

Roddy Doyle, correct."
609,Thomas Keneally
612,nan
615,Alexander Pushkin
627,nan
628,Muhammad Ali
629,Manny Pacquiao
632,Rocky Marciano
633,Lennox Lewis
634,Rocky Marciano
636,David Hockney
644,nan
654,nan
659,nan
660,nan
661,nan
670,nan
671,nan
672,nan
680,nan
690,nan
693,Buffalo Springfield
697,nan
701,nan
710,General Motors
712,nan
713,nan
715,nan
716,nan
719,nan
721,nan
725,Deliverance
728,Phil Collins
730,Tennis
733,nan
741,nan
742,nan
745,nan
747,nan
750,nan
751,nan
754,nan
755,nan
759,Alan Jay Lerner
762,nan
763,nan
764,nan
765,nan
766,nan
768,nan
769,nan
771,nan
772,nan
773,nan
774,nan
777,nan
778,nan
781,Florida
782,Florida
789,nan
792,nan
800,nan
803,nan
808,nan
809,nan
810,nan
812,nan
837,nan
846,nan
851,nan
852,nan
858,nan
862,Tennis
864,nan
868,nan
869,nan
871,nan
873,"""Believe"""
878,nan
879,Renée Zellweger
881,nan
884,nan
886,nan
888,nan
917,nan
920,nan
921,Enya
924,nan
930,nan
931,nan
935,nan
936,nan
939,nan
941,nan
955,nan
956,nan
959,nan
963,nan
969,nan
970,nan
971,Friedrich Engels
972,"Mozart, Beethoven, Schubert, Wagner, Brahms, Strauss (Richard)"
977,nan
978,nan
979,Reginald Maudling
988,Penelope Cruz
994,Brian Capron
1002,nan
1003,nan
1010,Danger Mouse
1012,Alastair Cook
1013,Fred Trueman
1014,Don Bradman (299)
1015,Imran Khan
1017,nan
1025,nan
1033,nan
1037,nan
1044,nan
1052,nan
1055,J.B. Priestley
1056,nan
1057,nan
1062,nan
1064,nan
1066,nan
1069,nan
1079,"""Paddington 2"""
1093,Michael Jackson
1099,nan
1102,nan
1103,Cycling
1104,nan
1108,"G: ""G.I. Jane"""
1112,nan
1113,nan
1114,nan
1115,nan
1116,nan
1117,Scotland
1120,nan
1122,nan
1129,nan
1131,nan
1133,nan
1140,nan
1143,nan
1144,nan
1145,nan
1147,nan
1150,nan
1151,nan
1152,nan
1154,nan
1155,nan
1159,nan
1160,The Jungle Book
1161,nan
1167,nan
1172,nan
1176,nan
1180,Kansas
1187,nan
1197,nan
1203,nan
1207,nan
1208,nan
1210,nan
1215,nan
1222,nan
1238,nan
1241,nan
1246,nan
1250,Patsy Palmer
1252,nan
1254,John Steinbeck
1255,Elia Kazan
1260,nan
1274,Norway
1283,nan
1290,nan
1293,nan
1307,Margaret Rose
1327,nan
1334,nan
1336,Carlo Ancelotti
1337,Roy Hodgson
1338,nan
1340,nan
1341,nan
1347,South Africa
1353,nan
1355,Bonnie and Clyde
1360,nan
1363,nan
1365,Croatia
1367,nan
1368,nan
1369,Love Shine A Light
1372,Venus
1381,nan
1385,Manchester City
1386,Aston Villa
1387,Portsmouth FC
1389,Aston Villa
1390,Arsenal FC
1397,nan
1407,nan
1409,Austria
1419,Jamie Dornan
1422,nan
1424,Tom Jones
1427,nan
1429,nan
1433,nan
1436,nan
1442,nan
1443,Okeechobee Waterway
1444,Boxing match
1451,nan
1453,nan
1454,nan
1455,nan
1456,nan
1457,nan
1458,Dennis Bergkamp
1459,"Martin Peters, Bobby Charlton"
1460,Marians Pahars
1461,Theo Walcott
1462,Zinedine Zidane
1463,nan
1469,John Galsworthy
1470,nan
1478,nan
1481,Jacques Chirac
1482,Valéry Giscard d'Estaing
1483,nan
1484,nan
1486,nan
1490,nan
1493,nan
1500,nan
1502,Jane Leeves
1506,Uranus
1508,nan
1510,nan
1520,nan
1541,nan
1542,nan
1543,nan
1544,nan
1557,nan
1561,nan
1562,nan
1571,Ernest Borgnine
1576,nan
1583,nan
1584,nan
1589,nan
1592,nan
1595,nan
1597,nan
1599,nan
1600,nan
1601,nan
1602,Composition of music
1603,nan
1605,nan
1612,nan
1613,nan
1621,nan
1623,nan
1624,nan
1627,nan
1628,nan
