,Model
0,"Grégoire Colin appears in ""The Hundred-Foot Journey"", ""A Good Year"", and ""The Da Vinci Code""."
3,"""The Woman in Red"" | ""Susan and God"""
8,"Rocky IV, Red Sonja, Beverly Hills Cop II, Cobra, The Secret Agent, Beverly Hills Cop III, The Fifth Element, Schwarzenegger's Sabotage, and many others."
14,"""Roger Bart starred in films like ""Descendants,"" ""Camp,"" ""Deck the Halls,"" ""Con Air,"" and ""Cruel Intentions."""
23,"The Woman in Gold, Avalon, The Innocents, Show Boat, Stage Door, Little Women, Dr. Jekyll and Mr. Hyde, The Strange Love of Martha Ivers, The Best Years of Our Lives, and Lifeboat."
29,"""Star Trek: The Animated Series, Battlestar Galactica, Buck Rogers in the 25th Century"""
31,"""Ghost in the Shell (2017), Alita: Battle Angel (2019), and Pacific Rim: Uprising (2018)"""
33,"A Nightmare on Elm Street, The Twilight Zone (TV series), Kolchak: The Night Stalker (TV series)"
35,"Ximena Ayala appears in ""Narcos: Mexico""."
36,"Nell Cattrysse stars in ""Blood & Water"" and ""The Witch Hunter"""
39,"""A Beautiful Mind, Jerry Maguire, The Firm, Forrest Gump, The Mask of Zorro, The Devil's Advocate"""
47,"""The Birth of a Nation, The Big Parade, and Ben-Hur"""
50,"""The Tin Drum, The Lost Honour of Katharina Blum, and The Marriage of Maria Braun"""
76,Joanna Newsom does not star in any films or TV shows. She is a musician and songwriter.
80,"""Greg McLane starred in 'The Dark Knight Rises', 'The Town', and 'The Departed'."""
88,"Seinfeld, Pretty Woman, Shrek, The Jet Set, and The Disaster Artist"
92,"Rorschach (Watchmen), Freddy Krueger (A Nightmare on Elm Street reboot), Dan Dunne (Little Children), Hoyt Axton (I Saw the Light)"
96,"City Slickers, Batman, Shane, Town Without Pity, The Greatest Show on Earth"
101,"""All About Lily Chou-Chou, The World of Kanako, The Light Shines Only There"""
103,"Roots, Braveheart, and Game of Thrones"
106,"""The Girl from Petrovka, Broken English, The Snowman, A Knight's Tale, The Chronicles of Riddick"""
107,Plácido Domingo did not act in films. He is an opera singer.
108,"""Gone with the Wind, The Prisoner of Zenda, The V.I.P.s"""
119,"""Beatriz Batarda acted in 'The Man Who Killed Don Quixote', 'The Last Vermeer', and 'The House of Mirth'."""
