,Model
7771,Comedy
11373,"Tammy Lauren, Erin Brown, Sean Astin, Wil Wheaton, Tammy Lauren (Wishmaster), Erin Brown (The Rage), Sean Astin, Wil Wheaton (Toy Soldiers)"
3784,Tom Vaughan
3942,"Vinícius de Oliveira, Sandra Corveloni, Leandro Firmino, Alexandre Rodrigues, Douglas Silva"
11948,"1947, 1949, 1950, 1952, 1954, 1993"
5173,Abby Everett Jaques
7077,French
12628,"The Woman, All Cheerleaders Die"
9815,"Barry Sullivan, Loretta Young"
13077,"Drama, Comedy"
7881,Alan Moore
902,Irving Rapper
12222,"The Descent, Doomsday, Centurion, Dog Soldiers"
8526,Saul Dibb
11358,"Ewan McGregor, Ray Winstone, Anna Friel, Rachel Weisz, Rupert Graves, Hayley Atwell, Ben Drew, Sean Pertwee, Catherine McCormack"
7976,"Drama, Sport"
8149,"Vir Das, Shenaz Treasury, Kunaal Roy Kapur"
387,"Western, Adventure"
1385,"Sean Bean, Eddie Redmayne"
11162,"Jasmin Tabatabai, Bandits, Billy Bob Thornton, Jutta Hoffmann, Katja Riemann, Cate Blanchett, Nicolette Krebitz"
7132,"Arnold Schwarzenegger, Jamie Lee Curtis"
7536,Russian
8689,Jane Campion
2499,"The Screenwriter of Titanic also wrote The Terminator, Aliens, The Abyss, True Lies, and Avatar."
4110,Comedy
6951,Rosalind Wiseman
10881,"Drama, Crime"
3485,"Cat on a Hot Tin Roof, The Roman Spring of Mrs. Stone, Sweet Bird of Youth, Boom!, The Loss of a Teardrop Diamond, The Glass Menagerie, A Streetcar Named Desire, This Property Is Condemned, Period of Adjustment, Suddenly, Last Summer, Summer and Smoke, The Night of the Iguana, Here Without Me, Baby Doll, The Rose Tattoo, The Loss of a Teardrop Diamond, The Roman Spring of Mrs. Stone, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a Teardrop Diamond, The Loss of a"
13481,"Curt Siodmak, Lester Cole, Joe May"
8883,"Sandra Bullock, Bradley Cooper, Thomas Haden Church, Felicity Jones, Bill Bailey"
11793,"Michael Caine, Basil Rathbone, Nancy Allen, Keith Gordon"
1035,"Kris Pearn, Cody Cameron"
8825,"Mauricio Zacharias, Ira Sachs"
12436,2014
12019,"Comedy, War"
6259,David Michôd
518,"1965, 1969"
7959,"Sylvie White, Teena Booth"
14523,"Kelly McGillis, Susan Ward, Lori Heuring, Tiffany, Debbie Gibson, Jon DeVries, Adrian Pasdar, Denise Crosby, Matthew Settle, Fred Gwynne, Dale Midkiff"
2984,"I, Robot, Winter's Tale, A Beautiful Mind"
12363,"The Good Earth, Stranger on the Prowl, Commandos Strike at Dawn, Black Fury, A Song to Remember, Scarface, Angel on My Shoulder, I Am a Fugitive from a Chain Gang, The Last Angry Man, A Song to Remember, and Scarface."
357,1988
13306,"David Butler, Victor Schertzinger, Henry Hathaway, Hal Walker, Norman Jewison, Leslie Fenton, Henry King, Elliott Nugent, Norman Z. McLeod, Cecil B. DeMille, John Huston, King Vidor, John Ford, Rouben Mamoulian, George Stevens"
3070,"The Green Butchers, Adam's Apples, In a Better World, Brothers, Flickering Lights, Murk, The Salvation, Stealing Rembrandt"
12580,Drama
11616,Franco Zeffirelli
8064,2009
13076,"Casino Royale, GoldenEye, The Mask of Zorro, The Legend of Zorro, Edge of Darkness, Vertical Limit, Green Lantern, Beyond Borders, and The Legend of Zorro (note the repetition of The Legend of Zorro is a typo in the question, not the answer)"
13535,"Ocean's Eleven, Traffic, Out of Sight, Erin Brockovich, Ocean's Twelve, The Limey, Contagion, Solaris, Gray's Anatomy, The Good German, Kafka, Side Effects, Sex, Lies, and Videotape, Magic Mike, Behind the Candelabra, Haywire, Bubble, Full Frontal, Ocean's Thirteen, The Girlfriend Experience, Side Effects, King of the Hill, The Underneath, Solar, Soderbergh (implied)"
907,"The Matrix, 47 Ronin, Something's Gotta Give, Feeling Minnesota, The Day the Earth Stood Still, John Wick, A Scanner Darkly, The Watcher, River's Edge, Chain Reaction, Constantine, Point Break, Speed, The Thing Called Love, The Man Who Would Be King, Gravity, 28 Days, Crash, Hope Floats, Practical Magic, While You Were Sleeping, Love Potion No. 9, In Love and War, The Gift, All About Steve, The Heat, The Proposal, Infamous, The Blind Side, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The Scarlet and the Black, The Insider, The Amateur, Sweet November, The Prince of Pennsylvania, The Day the Earth Stood Still, The Proposal, The Last Time I Committed Suicide, My Own Private Idaho, The Last Time I Committed Suicide, The Net, The New World, The"
828,"Brink of Life, The Seventh Seal, Wild Strawberries, The Silence, Hour of the Wolf, Fanny and Alexander, Autumn Sonata, From the Life of the Marionettes, Shame, A Lesson in Love, The Passion of Anna, To Joy, and Crisis were all directed by Ingmar Bergman."
9058,"Miles Millar, Alfred Gough"
8657,Bob Gosse
7258,"Full Metal Jacket, Household Saints, Stuart Saves His Family, Mystic Pizza, Feeling Minnesota, The Salton Sea, Dying Young, Thumbsucker, The Whole Wide World, Impostor, Chained, The Winner, Kill the Irishman, Father of the Bride, The Thirteenth Floor, Happy Accidents, Sucker Punch, The Wait"
1226,2013
3724,"Jimmy Durante, Bing Crosby, Mary Carlisle, Andy Devine, Stephen Boyd, Chic Johnson, Doris Day"
7173,"Lawrence of Arabia, The Night of the Generals, My Favorite Year, Supergirl, Club Paradise, Phantoms, How to Steal a Million, Lord Jim, King Ralph, High Spirits, The Stunt Man, Venus, Becket, The Nutcracker Prince, Power Play, Man of La Mancha, The Lion in Winter"
12195,"Drama, Crime"
8603,"Nicolas Roeg, Don't Look Now, The Man Who Fell to Earth, Walkabout, Bad Timing, Samson and Delilah, Insignificance"
14093,"Drama, Comedy"
9316,"Action, War"
9412,"The Director of Oh, God! also directed The Jerk, Summer Rental, Summer School, Fatal Instinct, That Old Feeling, The Man with Two Brains, All of Me, Where's Poppa?, and Sibling Rivalry."
1662,"Horror, Thriller"
12581,"1952, 1958"
11094,"James Bridges, Vladimir Grammatikov, James Goldstone, Jack Starrett, Alan J. Pakula, Jack Starrett, Alan J. Pakula, Peter Bogdanovich, Dalton Trumbo"
13564,"Larry McMurtry, Diana Ossana"
7785,"Free Samples, Peter and Vandy, The Face of Love"
14760,"Tarzan the Ape Man, Tarzan Finds a Son!, Tarzan Escapes, Tarzan's Secret Treasure, Tarzan's New York Adventure, Voodoo Tiger, The Hurricane, Just a Gigolo, Tarzan's New York Adventure"
5674,"Dave Eggers, John Krasinski, Mary C. McCall Jr., Charles Kenyon, William Shakespeare, Jay Parini"
6890,"Horror, Comedy"
10911,"Casino Royale, Quantum of Solace, Skyfall, The World Is Not Enough, Stoned, Johnny English"
1358,"Richard Attenborough, Glenn Close, Dylan McDermott, Derek Jacobi, Rex Harrison, Diane Venora, Edmund Gwenn, Andrea Riseborough, Marianne Faithfull, Roger Livesey, Nigel Patrick, Maureen O'Hara, Judy Geeson, Richard Crenna, Judy Parfitt, Flora Robson, Steve McQueen, Elizabeth Perkins, Hardy Krüger, John Hurt, John Wayne, Candice Bergen, John Payne, Michael Craig, Sam Riley, Anthony Newley, James Garner, Oliver Ford Davies, Peter Finch, Alan Bates, Ethan Hawke, Jack Hawkins, Kyle MacLachlan, Peter Sellers, Nicol Williamson, James Stewart, Mel Gibson, John Leyton"
12165,"Katrin Cartlidge, Labina Mitevska"
13859,1982
12229,"James Stewart, Barbara Stanwyck, Adolphe Menjou"
6662,"Western Union, Crossfire, The Enchanted Cottage, The Second Woman, The Bride Wore Red, I Met Him in Paris, Three Comrades, Stowaway, Journey for Margaret, That Forsyte Woman, Red Salute, Secret Agent, Northwest Passage, The Canterville Ghost, Lady Be Good, Sitting Pretty, The Honey Pot, Back Street, The Fighting Seabees, House of Strangers, David and Bathsheba"
8978,"1939, 1954"
14579,"Niven Busch, Stuart N. Lake, Jo Swerling"
8284,John Paxton
11471,Thriller
169,1971
14328,"David Cronenberg (as Rabid was written by him, but not directed)"
4947,Italian
1411,"David Wayne, Susan Sarandon, Mildred Dunnock, Stephen Lang, Burt Lancaster, Lee J. Cobb, Robert Redford, Arthur Hill, James Olson, Charles Bronson, Dustin Hoffman, John Malkovich"
3821,"Drama, Romance, Comedy, Thriller, Crime"
1433,"A Martinez, Gary Farmer, Amanda Wyss, Joanelle Romero"
10567,2010
