,Model
7771,"Comedy, King's Ransom"
11373,"Andrew Howard, The Rage, Toy Soldiers, Stephen Dorff, Judgment Night, D.L. Hughley, The Brothers, Sid Haig, The Devil's Rejects, Maeve Dermody, Griff the Invisible, Dagmara Dominczyk, Quartet, Anthony Higgins, Christian Slater, Somewhere, Richard Dreyfuss, The Apprenticeship of Duddy Kravitz, Alex Pettyfer, Endless Love, Harry Dean Stanton, Fool for Love, Dermot Mulroney, Living in Oblivion, David Hewlett, Treed Murray, Donald Sutherland, Without Limits, Jim Sturgess, Heartless, Jonathan Groff, C.O.G., Stephen Dorff, The Gate, Jonathan Demme, Beloved, The Shooter, Michael Dudikoff, That Was Then... This Is Now, Rossif Sutherland, Poor Boy's Game, James Rebhorn, Scent of a Woman, George Arliss, Disraeli, Rod Steiger, The Unholy Wife, Willem Dafoe, John Carter, Scott Caan, Into the Blue, Zach Braff, Wish I Was Here, Tom Berenger, The Substitute, The Dead, David Dontoh, Alex Pettyfer, Magic Mike, Crispin Glover, Bartleby, Donald Crisp, Dr. Jekyll and Mr. Hyde, Dustin Hoffman, Wag the Dog, Rod Steiger, Back from Eternity, Matthew Broderick, The Road to Wellville, The Loveless, David Butler, The Littlest Rebel, James Arness, Them!, Viggo Mortensen, G.I. Jane, Garret Dillahunt, Burning Bright, James Marsden, The Best of Me, Steven Seagal, Against the Dark, The Lost Squadron, Johnny Depp, The Lone Ranger, Jessabelle, John Candy, Only the Lonely, Debra Winger, An Officer and a Gentleman, Andrew McCarthy, Fresh Horses, The Substitute, Dalton James, Carey Mulligan, The Greatest, Zach Gilford, Devil's Due, House of Women, Danny Glover, Lethal Weapon, Destroyer, Steven Seagal, Out of Reach, Charles Bickford, Dynamite, Jon Voight, Pride and Glory, The All Together, Tony Curtis, Sweet Smell of Success, Jamie Lee Curtis, Dominick and Eugene, Derek Luke, Antwone Fisher, The Dunwich Horror, Ed Begley, Jeff Goldblum, Auggie Rose, Freddie Highmore, The Art of Getting By, Tom Berenger, Platoon, Danny Trejo, Recoil, Into the Woods, Dan Aykroyd, My Girl, Steve Carell, Dan in Real Life, Point Blank, Gérard Lanvin, Matthew Broderick, The Stepford Wives, John Sturges, Joe Kidd, Johnny Depp, Don Juan DeMarco, Stonewall, Howard Deutch, Pretty in Pink, Dan Aykroyd, Neighbors, The Wrong Guy, Love Field, Dane Cook, Dan in Real Life, Bill Nighy, I, Frankenstein, Tom Berenger, Love at Large, Stockard Channing, Staying Together, Richard Dreyfuss, Once Around, Casey Affleck, Lonesome Jim, Dan Aykroyd, My Girl 2, Patricia Arquette, Ed Wood, Zach Gilford, Crazy Kind of Love, Dan Dailey, When Willie Comes Marching Home, Danny Glover, Lethal Weapon 2, John Lithgow, Distant Thunder, Dark Mirror, Donald Sutherland, Backdraft, Danny Glover, Bopha!, Tom Cavanagh, Sublime, Ving Rhames, Bringing Out the Dead, Christian Slater, Beyond the Stars, Albert Finney, Two for the Road, The Adventures of Ford Fairlane, Death Hunt, Phantasm, Freddie Francis, The Doctor and the Devils, Queen Latifah, Just Wright, College, Kim Basinger, Fool for Love, David Mirkin, Romy and Michele's High School Reunion, They, Laura Regan, Andy Tennant, Anna and the King, Richard Dreyfuss, Let It Ride, Casey Affleck, Lonesome Jim, Dan Aykroyd, My Girl 2, Patricia Arquette, Ed Wood, Zach Gilford"
3784,"Phil Traill, Peter Farrelly"
3942,"Bráulio Mantovani, Alexandre Rodrigues, Darlan Cunha, Giovanna Mezzogiorno, Aldo Fabrizi, Marcello Mastroianni, Antonio Albanese, Claudio Bigagli, James Belushi, Armando Espitia, Pedro Almodóvar, Monica Bellucci, Rocco Siffredi, Alessandro Mario, Alessandro Mario, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolphe Menjou, Adolp"
11948,"1940, 1949, 1950, 1957, 1942, 1950, 1940, 1957, 1940, 1949, 1950, 1942, 1950, 1949, 1942, 1950, 1949, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 1950, 1949, 1950, 1942, 195"
5173,"Guillermo del Toro, David S. Goyer"
7077,English
12628,"""The Incredibles, Finding Nemo, Ratatouille"""
9815,Not provided in the context.
13077,"Drama, Horror, Comedy"
