,Model
8,"German, English"
14,1963
27,"Ken Kwapis, Michael Sucsy"
31,"1956, 1953"
47,"English, German"
63,"Drama, Comedy, Horror"
99,"2009, 2012"
101,Greek
102,"Forest Whitaker, Ken Loach, Bernie Mac, Zoe Saldana, Ted Demme, Kevin Rodney Sullivan, Guess Who's starred_actors."
168,"Bruce McDonald, Ken Loach"
169,"Horror, Comedy, Documentary"
173,John Ford
177,"Drama, Comedy"
181,"John Waters, Neil Simon, Zalman King, Peter S. Seaman, Gary K. Wolf, Jeffrey Price"
218,"Phil Karlson, Leonard Kantor"
280,"Horror, Japanese"
284,"Comedy, Drama, Greek, French, Roman Polanski (unknown), Irish, Hebrew, German"
286,"French, English"
290,"Richard Dreyfuss, Faye Dunaway, Alison Brie, Elizabeth Banks, Liam Neeson, Morgan Freeman, Chris Pratt"
304,"Drama, Comedy, Crime, Documentary"
311,"French, Greek"
327,"Marisa Tomei, Vincent D'Onofrio"
339,Agatha Christie
353,Thom Fitzgerald
357,"2012, 1981, 1953, 1973, 1987, 1969, 1970, 1980, 1968, 1963, 1969, 1968, 1982, 1977, 1985, 1982, 2000, 1986, 2012, 1981, 1995, 2009, 1977, 1981, 1969, 1986, 1986, 1975, 1982, 2000, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1986, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 1969, 1987, 1971, 1982, 2000, 1986, 1975, 1982, 2003, 196"
360,Eric Warren Singer
379,"1978, 1932, 2006, 1977, 1979, 2000, 1998, 2003, 2004, 2006, 2008, 2012, 2013, 2014, 2007, 2001, 2006, 2008, 2000, 2007, 1971, 2011, 2004, 2000, 2003, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 200"
385,"Comedy, Adventure, Science Fiction, Western, Drama"
399,1994
410,"RoboCop, Action, Comedy, Drama, Dystopia, Science Fiction"
450,"Directed by Albert Brooks, the movies are ""Lost in America"", ""Modern Romance"", and ""Real Life""."
455,2013
457,"Shirley Temple, Joseph Cotten"
468,"English, Hungarian"
473,"1937 (Nothing Sacred), 1993 (Money for Nothing), 1995 (Nothing Personal), 2007 (Life as We Know It)"
476,John Cusack
487,"1951, 1981, 1999"
518,"comedy, drama"
542,1996
568,"Richard Thorpe, Robert Z. Leonard, Harry Brown, Ben Ames Williams"
